case fname mu sigE sigMU seed
1  case1.h2.gz 0.0001 1 5 1
2  case2.h2.gz 0.001  1 5 2
3  case3.h2.gz 0.001  1 5 3
4  case4.h2.gz 0.01   1 5 4
5  case5.h2.gz 0.0001 1 2.5 5
6  case6.h2.gz 0.001  1 2.5 6
7  case7.h2.gz 0.001  1 2.5 7
8  case8.h2.gz 0.01   1 2.5 8
9  case9.h2.gz  0.0001 1 1.25 9
10 case10.h2.gz 0.001 1 1.25 10
11 case11.h2.gz 0.001 1 1.25 11
12 case12.h2.gz 0.01  1 1.25 12
13 case13.h2.gz 0.0001 2.5 5 1
14 case14.h2.gz 0.001  2.5 5 2
15 case15.h2.gz 0.001  2.5 5 3
16 case16.h2.gz 0.01   2.5 5 4
17 case17.h2.gz 0.0001 2.5 2.5 5
18 case18.h2.gz 0.001  2.5 2.5 6
19 case19.h2.gz 0.001  2.5 2.5 7
20 case20.h2.gz 0.01   2.5 2.5 8
21 case21.h2.gz  0.0001 2.5 1.25 9
22 case22.h2.gz  0.001  2.5 1.25 10
23 case23.h2.gz  0.001  2.5 1.25 11
24 case24.h2.gz  0.01   2.5 1.25 12
